ROI,n,F_group,p_group,mean_control,mean_ceunim,delta_ceunim_minus_control,p_fdr,significant_fdr
TL-middle-and-inferior-temporal-gyrus-L,53,21.015263662372465,3.1658939796257404e-05,4.633928630769232,4.843210329629629,0.20928169886039782,0.0015535992470491135,True
PL-supramarginal-gyrus-L,53,20.838231123497998,3.377389667498073e-05,4.886906988461538,5.162777633333333,0.27587064487179447,0.0015535992470491135,True
FL-superior-frontal-gyrus-R,53,19.241974323881664,6.102619178906062e-05,4.897103292307692,5.157118274074075,0.2600149817663828,0.0018714698815311924,True
FL-lateral-orbital-gyrus-L,53,17.93293964553527,0.00010032441514287002,5.134050280769231,5.508742807407407,0.3746925266381762,0.0023074615482860106,True
FL-middle-frontal-gyrus-L,53,15.362344613172386,0.0002754806034553988,5.329678288461538,5.686595322222222,0.3569170337606842,0.004355193368769436,True
CG-anterior-cingulate-gyrus-R,53,15.049960932299697,0.0003124794542449266,4.376019796153846,4.7553389333333325,0.3793191371794862,0.004355193368769436,True
FL-inferior-frontal-gyrus-L,53,14.90506421969839,0.00033137340849332666,5.242218619230769,5.615460625925925,0.37324200669515584,0.004355193368769436,True
FL-superior-frontal-gyrus-L,53,13.484498066061484,0.0005944270714409234,4.843167261538462,5.148403255555556,0.3052359940170941,0.006835911321570619,True
TL-posterior-temporal-lobe-L,53,11.56338814902156,0.0013461688015037187,4.836972726923078,4.952040433333333,0.11506770641025543,0.013760836637593568,True
TL-anterior-temporal-lobe-lateral-part-L,53,10.674179637192758,0.0019881300068446605,4.179812050000001,4.354216037037037,0.17440398703703597,0.018290796062970877,True
CG-posterior-cingulate-gyrus-L,53,8.866786675348157,0.004504735315524259,5.634586596153847,5.901080362962964,0.2664937668091172,0.03449027254056192,True
pallidum-L,53,8.78058045595062,0.004688262431397638,4.751540346153846,4.570404,-0.18113634615384644,0.03449027254056192,True
PL-angular-gyrus-L,53,8.697055140877557,0.004873625467688097,5.35596738076923,5.642545899999999,0.28657851923076905,0.03449027254056192,True
FL-inferior-frontal-gyrus-R,53,7.74733660482899,0.0076206848649572265,5.265985676923078,5.481446051851852,0.21546037492877357,0.0500787862554332,False
CG-posterior-cingulate-gyrus-R,53,7.057007541324995,0.010626569695470552,5.5089264230769235,5.747394833333333,0.2384684102564094,0.06517629413221938,False
CG-anterior-cingulate-gyrus-L,53,6.575018050229295,0.013458740515256622,4.466814526923077,4.823722225925927,0.3569076990028499,0.06936908860456384,False
FL-anterior-orbital-gyrus-L,53,6.572385079143135,0.013476255285861237,5.083432826923077,5.31431935925926,0.23088653233618306,0.06936908860456384,False
TL-superior-temporal-gyrus-anterior-part-L,53,6.5580242540127305,0.013572212987849447,3.4457964538461536,3.756080018518519,0.3102835646723654,0.06936908860456384,False
FL-middle-frontal-gyrus-R,53,6.373540020070028,0.014871786097719582,5.401656646153847,5.574536877777778,0.17288023162393085,0.0720107537363264,False
