,TL-hippocampus-R,TL-hippocampus-L,TL-amygdala-R,TL-amygdala-L,TL-anterior-temporal-lobe-medial-part-R,TL-anterior-temporal-lobe-medial-part-L,TL-anterior-temporal-lobe-lateral-part-R,TL-anterior-temporal-lobe-lateral-part-L,TL-parahippocampal-and-ambient-gyrus-R,TL-parahippocampal-and-ambient-gyrus-L,TL-superior-temporal-gyrus-middle-part-R,TL-superior-temporal-gyrus-middle-part-L,TL-middle-and-inferior-temporal-gyrus-R,TL-middle-and-inferior-temporal-gyrus-L,TL-fusiform-gyrus-R,TL-fusiform-gyrus-L,cerebellum-R,cerebellum-L,brainstem-excluding-substantia-nigra-,insula-posterior-long-gyrus-L,insula-posterior-long-gyrus-R,OL-lateral-remainder-occipital-lobe-L,OL-lateral-remainder-occipital-lobe-R,CG-anterior-cingulate-gyrus-L,CG-anterior-cingulate-gyrus-R,CG-posterior-cingulate-gyrus-L,CG-posterior-cingulate-gyrus-R,FL-middle-frontal-gyrus-L,FL-middle-frontal-gyrus-R,TL-posterior-temporal-lobe-L,TL-posterior-temporal-lobe-R,PL-angular-gyrus-L,PL-angular-gyrus-R,caudate-nucleus-L,caudate-nucleus-R,nucleus-accumbens-L,nucleus-accumbens-R,putamen-L,putamen-R,thalamus-L,thalamus-R,pallidum-L,pallidum-R,corpus-callosum-,Lateral-ventricle-excluding-temporal-horn-R,Lateral-ventricle-excluding-temporal-horn-L,Lateral-ventricle-temporal-horn-R,Lateral-ventricle-temporal-horn-L,FL-precentral-gyrus-L,FL-precentral-gyrus-R,FL-straight-gyrus-L,FL-straight-gyrus-R,FL-anterior-orbital-gyrus-L,FL-anterior-orbital-gyrus-R,FL-inferior-frontal-gyrus-L,FL-inferior-frontal-gyrus-R,FL-superior-frontal-gyrus-L,FL-superior-frontal-gyrus-R,PL-postcentral-gyrus-L,PL-postcentral-gyrus-R,PL-superior-parietal-gyrus-L,PL-superior-parietal-gyrus-R,OL-lingual-gyrus-L,OL-lingual-gyrus-R,OL-cuneus-L,OL-cuneus-R,FL-medial-orbital-gyrus-L,FL-medial-orbital-gyrus-R,FL-lateral-orbital-gyrus-L,FL-lateral-orbital-gyrus-R,FL-posterior-orbital-gyrus-L,FL-posterior-orbital-gyrus-R,FL-subgenual-frontal-cortex-L,FL-subgenual-frontal-cortex-R,FL-subcallosal-area-L,FL-subcallosal-area-R,FL-pre-subgenual-frontal-cortex-L,FL-pre-subgenual-frontal-cortex-R,TL-superior-temporal-gyrus-anterior-part-L,TL-superior-temporal-gyrus-anterior-part-R,PL-supramarginal-gyrus-L,PL-supramarginal-gyrus-R,insula-anterior-short-gyrus-L,insula-anterior-short-gyrus-R,insula-middle-short-gyrus-L,insula-middle-short-gyrus-R,insula-posterior-short-gyrus-L,insula-posterior-short-gyrus-R,insula-anterior-inferior-cortex-L,insula-anterior-inferior-cortex-R,insula-anterior-long-gyrus-L,insula-anterior-long-gyrus-R
TL-hippocampus-R,1.0,0.6955139533832542,0.6979741390247488,0.6234083962492213,0.14845882281596112,0.04031096611283593,0.030756414913726455,0.000446438463996152,0.5757072824731799,0.5452270491748851,0.7109720535165525,0.5323498553194255,0.493261547990578,0.324325093423472,0.42431160325040074,0.528646818769315,0.17541821721694875,0.1917368604691333,0.2996478463917915,0.17600602401659526,0.09535214787857421,0.3982426162213381,0.4151283595229894,-0.46384880460310773,-0.4360280243914046,0.09589266221384862,0.19959901642340308,0.0027147793192045305,0.029315664162643886,0.6867809986694164,0.6780422317329696,0.10207341056688975,0.03650863649507766,0.4940326134206769,0.5808750997399933,0.42356451351250435,0.40229533286217367,0.5178239244010856,0.5923808681503006,0.359906014779407,0.33171672806262925,0.04553171016799632,0.27778280681391365,-0.413766367630974,0.5618322487505509,0.31767130250122155,0.7421374463613655,0.13568405021643606,-0.08447625556667582,-0.013437166945925345,0.1045086430008989,0.14814813315399125,-0.07921188992368412,-0.013364285287146217,-0.0597707517548295,0.10425661473090082,-0.01677865595356429,0.01925434321384306,0.4482952605619313,0.503395633870257,0.03587992482654879,0.11555998999908174,0.2555327424848354,-0.018628866110022405,0.08177611988904232,0.06659080686134357,0.0260164332944295,0.12719501614749956,-0.053174636450960544,-0.07788828136696879,-0.004744273561474152,0.043623539328207055,-0.395957601250043,-0.21984148544487186,0.06898668657920255,0.07582202017424246,-0.3064921923884726,-0.1987254073939374,0.2097666442932848,0.25310068327027707,0.5761621609826667,0.5826184341721723,0.10608664191932345,0.22028824749565631,0.011973872705907702,0.13610198548572885,0.12911370360507185,0.4732715477268385,-0.0824097440965421,-0.038787741527666904,0.7624123476458413,0.8123128435546835
TL-hippocampus-L,0.6955139533832541,0.9999999999999999,0.6040968134971372,0.7676921911452347,-0.2739917127389166,-0.18386485736623864,-0.2710435462278071,-0.19772575935598205,0.5138013440124218,0.7117071204800519,0.5266491870546405,0.44799466700573437,0.24087458608180304,0.19241115400721326,0.14368650273168931,0.4720513192151412,0.3967542251872681,0.4377075465943603,0.5648647765695856,0.2701712126514641,0.13047277864637002,0.4256408765795056,0.46332955565953343,-0.40566219475336124,-0.325225521851552,0.1787990610869636,0.21921133525487682,-0.15855112275270256,-0.20066396432538133,0.6833635842746196,0.4089292202877122,0.10298706097317685,0.025429835207547057,0.5673000124525394,0.44666340931013926,0.5007739919456979,0.37219767725866304,0.6200933393061716,0.5567400161142346,0.5180217059511588,0.5124353195563964,0.2554097105910393,0.4986594780347224,-0.3198772729779369,0.2960445650148677,0.3216271603306128,0.31056335598477225,0.5904387019458249,-0.12898102593870933,-0.21679224956313964,0.10813954600810292,0.15710549249736963,-0.16689719901794858,-0.18472803454638836,-0.1285045438192091,-0.09810200007928484,-0.1649219394068643,-0.17455504869689994,0.33090977191069765,0.2190177096112785,0.13478298649890205,-0.06619223700621418,0.42685984075137634,0.19888662178803182,0.4242756785291278,0.38790676301919086,0.01346883506630859,0.01620196671007538,-0.23254026454994603,-0.4089768204378135,-0.12986763867846066,-0.29192155162886824,-0.23066181961072935,-0.004505996222968408,0.14897372203740286,0.03625207398896876,-0.11943273748198967,-0.09529879310001572,-0.07028728126749725,-0.17836403823072924,0.37348656049400825,0.27798934708202105,0.29883266803264236,0.23867012959908931,0.1523099666711226,0.38479068395026667,0.19494545653716205,0.32075288854321593,-0.07707188273924924,0.08891525098376511,0.6522086549722094,0.5916053035475761
TL-amygdala-R,0.6979741390247489,0.6040968134971372,1.0,0.7896687652839389,0.14777620847695633,0.1559014603685316,0.04415295372156313,0.12082122373000277,0.4353302799260491,0.42727929747695165,0.3822183183741411,0.30372415855881263,0.29049640505847685,0.33457026475759594,0.2850687808241111,0.45979364234817005,0.3308663343232223,0.3140777509305353,0.35040437647171957,0.16051255874900716,-0.03658364686433321,0.3560424709976406,0.3632106699205826,-0.42198280028783924,-0.4061124710305467,-0.17303298817871482,-0.14442641707465734,-0.2197085497028168,-0.18990284571309113,0.513164949179743,0.31486895057836145,0.1258719667486446,0.01388415745295704,0.3061034463934195,0.24272408039963925,0.2557327167202715,0.1964041218348672,0.22199003420493238,0.2721776880532721,0.17523015996341315,0.17665491151660107,0.10359058805208758,0.37638888820083793,-0.19834814049983318,0.3002934841501553,0.1852831112289574,0.5376108442668327,0.3277986103123979,-0.23846755390160934,-0.19533568710793156,0.14979392500063898,0.15369758334359254,0.09495572809369582,-0.008293558058411104,-0.28814525480240244,-0.1416497649428814,-0.196944648574095,-0.2034057626064229,0.1981587769359235,0.2076239140420246,0.007154555790924413,-0.0680181673105901,0.17255155827808605,-0.0833590716770234,0.13238674209138446,0.09726100884311159,0.13544076149809328,-0.0006689495165089009,-0.029005268151572443,-0.08376968445859598,-0.012174298760789097,-0.08752712808603927,-0.27003082433901276,-0.08776540980415246,-0.02769610795969759,-0.10369053799492824,-0.28961996821987185,-0.18908228565275664,0.32852078657173034,0.2664463738882617,0.3250264409474255,0.29139507010646815,0.1539161740782404,0.18421698767366954,-0.02846832326031455,0.1290652959167405,0.17759689659462805,0.33972294540843656,-0.14083660453684588,-0.029321290326364543,0.49416038581847865,0.5499839609527741
TL-amygdala-L,0.6234083962492213,0.7676921911452347,0.7896687652839388,1.0,-0.07985161019224689,0.052607087474030104,-0.047804750404988224,0.036540999638195355,0.4194147726279675,0.5437513323728919,0.3595018645210386,0.29944087652741375,0.19088768643614032,0.1907023026965657,0.07574567034926132,0.3696784307244425,0.3167820099843187,0.33314621733159566,0.4543903790663797,0.265012845152703,0.13009159478923812,0.34448231478420077,0.38109072719194564,-0.37568768184991524,-0.3398792451943866,-0.009992271162185696,-0.038637726765667624,-0.23539895729431795,-0.22931130101407501,0.5137606557106024,0.3525609503977023,0.04690924806143248,0.08057799761286238,0.36902288605875977,0.25018564171345203,0.4339193150345265,0.29651980525704397,0.3293339219389188,0.29608341139459876,0.3519867250826676,0.28504167188933033,0.3730680572972907,0.45844066488256885,-0.1760708338799454,0.27934879451782074,0.20676918196149385,0.327244950341955,0.5342478688209767,-0.26977991261327233,-0.22490786229811788,0.1782532277831879,0.17702022486952482,0.010698954968988386,-0.0950185829853092,-0.30788270088226255,-0.23220021886294415,-0.2825523834925183,-0.2837442773797885,0.17165960242714204,0.16352167270004594,0.07252179103884795,-0.10225703857117892,0.2354750404462376,0.06508439560862112,0.307203633667819,0.17186484923901282,0.10225005764042665,-0.003985703176716872,-0.055391419796449876,-0.25259433356764455,-0.06231382032068682,-0.2665648827035464,-0.31793410225906504,-0.05161710744724787,0.05239005477273667,-0.08780051673901375,-0.33519924472596513,-0.15549134720713673,0.1720737000915733,0.04160207683894621,0.29976759103236383,0.24115521269639184,0.26156285356343095,0.13625616036549085,0.08063703422427937,0.25524333854407494,0.16074992168212568,0.2980350286709314,-0.1679397862029927,-0.029681843002044066,0.5594682938911507,0.5379207839578776
TL-anterior-temporal-lobe-medial-part-R,0.14845882281596112,-0.2739917127389166,0.14777620847695636,-0.07985161019224689,1.0,0.7571409269989025,0.8273247756077152,0.6768307566626305,0.3468668481234571,0.10548894295808821,0.17882465906847994,0.108834745779029,0.4793030630058041,0.29943382137101754,0.5479826995767942,0.3212846198175234,-0.19241592992223938,-0.22108071054023026,-0.1510256635167161,0.04123257154396182,0.13580159774438286,0.17047185789373173,0.08712428089251091,-0.22762660244302607,-0.24347128492441786,-0.27592489670932735,-0.1505192796972967,0.32360734058997476,0.3411137941356663,0.017330751350741806,0.21703818130953306,0.3508543087255986,0.09347888748892356,0.19430274456271163,0.33880492842810217,0.14869902326696766,0.4398663515525499,0.2020841887857838,0.21855168150082704,-0.10164961721465392,-0.1583087073342477,-0.3828045800930884,-0.3881207276630823,-0.4152644533271302,0.37089802446900516,0.3308098749160089,0.21460283620316892,-0.6042159838423753,0.19460061502634168,0.2932407821992306,0.2924716744349136,0.2722578014686488,0.42715187169516644,0.39055468930767634,0.1478202699019733,0.2010073426194889,0.4313972646032632,0.4365287803586741,0.09559013319207554,0.29362248637995886,0.1031236549128522,0.2686453960418475,-0.277174507036961,-0.29540737860962774,-0.18844108036674062,-0.2760468593796598,0.34840772567788075,0.4077514569129003,0.5801890340493181,0.6122083787635039,0.4320929316130997,0.564672356205705,-0.30556463502942716,-0.43415323146014,0.07472545553236128,0.3141944787806713,-0.2958335727726576,-0.3576522914150275,0.73287707647442,0.8385588003396564,0.2845520693517911,0.21407437922681177,-0.2862927546954724,0.13046470366065974,-0.31943661559365494,-0.2829244246258413,0.06973067459156153,0.1642817946908114,-0.19290431892962495,-0.3871628678990778,0.07579220439936767,0.12822071565090642
TL-anterior-temporal-lobe-medial-part-L,0.040310966112835925,-0.18386485736623867,0.1559014603685316,0.052607087474030104,0.7571409269989025,1.0,0.7000304549966634,0.7870699788020457,0.2876259441418295,0.14347512815570282,0.0632503014936653,0.07801850926931704,0.3391401448411436,0.3220048833622511,0.35026986606470206,0.34224745601063344,-0.025775218311383515,-0.0503368578221386,-0.03930605078121248,0.15468506602199703,0.2202289979342649,0.1369637759523584,0.0703745219115407,-0.13936203449376683,-0.11827553567604583,-0.22757910245611782,-0.18460473685676124,0.281875555350172,0.25202992964947446,-0.07535505716781189,0.03431639364427362,0.27172004501162383,0.003468271582917596,0.1646779118537492,0.18291545040866333,0.16630424989524406,0.3381284817652067,0.13261462227144669,0.08252020890148319,-0.015271814294275116,-0.06798802789872489,-0.36191152922574793,-0.29995927638718756,-0.33548270857221546,0.20085495854202093,0.3199258707943383,-0.03130007447225489,-0.3995502822145968,0.12132621933424362,0.20198516082936108,0.48184377507967724,0.5017874360205328,0.6331217769364113,0.30151373215218596,0.1110631918192113,-0.0020790151355188653,0.3695996377550892,0.3486945856772909,-0.04751768625562401,0.10932058467320922,0.013841824656781397,0.01769718338867227,-0.22788283861873335,-0.20974075678781964,-0.05705307530639623,-0.24800164139556247,0.5445948178790043,0.46514638915340645,0.7191143440829665,0.4050633060147493,0.5857748936549437,0.3179357432902613,-0.36048538773090305,-0.2171783748089216,-0.018317152191129314,0.22215196816708793,-0.3604565011034693,-0.16546730091868825,0.8684495866059276,0.6897245743049777,0.1744201046363954,0.03322219924360489,-0.13797059822270963,0.03110043135952486,-0.1562692716381441,-0.22016181002455099,0.0839896411958077,0.13117837095078838,-0.17095896668509064,-0.17370274228305463,0.07022859493254667,0.08347969475246583
TL-anterior-temporal-lobe-lateral-part-R,0.03075641491372646,-0.2710435462278071,0.04415295372156313,-0.047804750404988224,0.8273247756077151,0.7000304549966634,1.0,0.8575446087952068,0.29615677781045696,0.10072688762430328,0.06753880342335784,0.11726690708821391,0.49294830263559064,0.3942869810116972,0.48850256069631043,0.3847029080625995,-0.08226558599907412,-0.13119360540661176,-0.29276510695241026,0.16810631436560836,0.08618686129078211,0.12967574628166292,0.03249435843619339,-0.10890515937559758,-0.09057434727047556,-0.09108901450021022,-0.136285226402947,0.49423290883734083,0.4735784382481795,0.006271591049133931,0.15898461088864366,0.5175113772061742,0.3699419739261712,0.18963083189658167,0.2971319504058243,0.0546469193754646,0.42714228749722033,0.20282594646842667,0.21795236568780016,-0.2407938340532509,-0.30380805189903143,-0.33530814726428154,-0.5408915649620478,-0.4090179067977755,0.22963555794032367,0.38240045129559014,0.07426777065058841,-0.4290694322325035,0.3421080839856267,0.46733486367341315,0.13082252196809172,0.14040594583051993,0.2404168386399279,0.16132333053454803,0.29552323772139316,0.22503204034232865,0.4938503520096994,0.5049476541178842,0.213123226416299,0.4112723119517063,0.26582378001327434,0.2797280398544252,-0.31371967028372055,-0.2826924131225097,-0.19863958845638624,-0.4239635231089865,0.24031471208669586,0.3172964970641609,0.469955704561602,0.4776474482215817,0.24717035617737304,0.29954227728664584,-0.24924022695260586,-0.3870120221121336,0.223132717504164,0.4519123218107948,-0.3706226493739353,-0.3886741525050538,0.6911018792385113,0.7805324662999134,0.3561798309976072,0.3074423642820561,-0.33641412701585566,0.1697341814540804,-0.32673647186578525,-0.33125480230472715,0.22820158008562794,0.27960258964900553,-0.07871052750017539,-0.26486280124248834,0.08811825759137328,0.1135617349851412
TL-anterior-temporal-lobe-lateral-part-L,0.000446438463996152,-0.19772575935598202,0.12082122373000279,0.036540999638195355,0.6768307566626305,0.7870699788020457,0.8575446087952067,0.9999999999999998,0.2613740097414123,0.05232121607751915,0.022104034973078727,0.16152949658701488,0.4307483662717308,0.572949308777118,0.36748704427977663,0.42217283953649654,0.003918190607938684,-0.06319850980356466,-0.3228018936823556,0.23107177201542164,0.1054234590245557,0.12082486391312898,0.0058867333070110875,0.10826775141987613,0.0536479510429102,-0.030660854359249975,-0.14314293120785754,0.44938266785403985,0.40514540830518164,0.039683597388065886,0.048141740071789604,0.520018925083002,0.381232622931403,0.16508716823950817,0.160031089583725,0.006191624411022411,0.3266624291363363,0.17104918891333165,0.1082935010218581,-0.28500030694658746,-0.33351764069122086,-0.3229052733520578,-0.4198639450726829,-0.324485414699645,0.010382643702606225,0.307336454961228,-0.11252467594843854,-0.23516160545918308,0.33756672062153875,0.4604370874691051,0.2433784723864819,0.2932638082355112,0.36532506671221815,0.1023254321378631,0.35235459176871886,0.17547893369960102,0.4696802952263878,0.446849138181207,0.13478240869795988,0.27303112867806345,0.30797025994821836,0.2041373452247886,-0.22009095113906937,-0.2335323043039169,-0.08995736004279722,-0.3557385503716999,0.35912292282645697,0.29667277822145066,0.5508447496605984,0.3227618105100896,0.32970946342736046,0.11755615814024346,-0.2077242620537601,-0.10362231872364773,0.14361496029047002,0.42073798147779734,-0.3059239625613395,-0.13613808459913793,0.7618219994209328,0.6717432104072512,0.28947077148722095,0.24256991544722753,-0.14741896643574445,0.12438215776008439,-0.20570201633824964,-0.2464699335610118,0.24943384091212367,0.286677315805062,-0.04052201292874914,-0.06505374811817086,0.017776286589400156,0.08689338461089764
TL-parahippocampal-and-ambient-gyrus-R,0.5757072824731799,0.5138013440124218,0.4353302799260491,0.41941477262796745,0.34686684812345703,0.2876259441418295,0.29615677781045696,0.2613740097414123,0.9999999999999999,0.8341936336383714,0.42259443251819395,0.29673248446918693,0.7823458230023628,0.49318353188733893,0.653289919278391,0.5946693183365971,0.363989203501271,0.3857607712362179,0.41774254260790616,0.23605911806619562,0.12895018808944164,0.39502839560689446,0.3507141999434883,-0.3584819338312729,-0.20372235700081834,0.23005910397422635,0.324556110107897,0.21276609915535452,0.13964562146011716,0.6267902669534388,0.5216593365651276,0.25493613192489395,0.17707594835738097,0.4314576821859531,0.587729747376078,0.532504880963038,0.6567416289617013,0.6027267755473257,0.5779497167443829,0.4536760106092281,0.4062068550705503,-0.06301145235173995,-0.09441254799948993,-0.456321341504208,0.4382878638575792,0.3658922027705406,0.32521788277176444,-0.030282767037182766,-0.00819555898917864,-0.07615758994184382,0.2979930036750203,0.3057255874290934,0.24677307410469998,0.18576357184139491,0.0914622243950697,0.1659944044011076,0.36775683159280387,0.39486249733012224,0.1656738222421971,0.2494420347508216,0.20628578676704015,0.21861670402104663,0.06324226744647522,-0.11414745591599676,0.16543659542746722,0.11097373475298067,0.3844860801821187,0.4241315103457541,0.2171562136913203,0.12038440110872685,0.2143149031617399,0.11329576347991253,-0.3541698666701445,-0.206340086223104,0.20791061180977466,0.3569152324854685,-0.30620558507207646,-0.24221234314591747,0.30571023763765465,0.2802855189473915,0.4928483282718956,0.459600771910872,-0.06042375545934915,0.1738054567870838,-0.047984857261130165,0.2172390930746556,0.082444322811305,0.18206693902571536,-0.06323983607292796,-0.07407859730079334,0.4640906215717153,0.4342078808331108
TL-parahippocampal-and-ambient-gyrus-L,0.545227049174885,0.7117071204800519,0.42727929747695165,0.5437513323728917,0.10548894295808822,0.14347512815570282,0.10072688762430328,0.052321216077519155,0.8341936336383714,1.0,0.39590268917363564,0.325084465449246,0.5719132036515098,0.33783341625437113,0.388988682164208,0.5889822206298314,0.41594585737365847,0.4651648574336077,0.6246018401511152,0.278267252202087,0.1703128263115779,0.3634460584534993,0.36125691331239274,-0.43336124993125685,-0.2332615278477031,0.2449336483761637,0.36751925562741644,0.1464625875059081,0.07344740718272948,0.6344950851329383,0.448293564923866,0.2272022945017095,0.046501777581977655,0.5791757272271482,0.5986929831203244,0.5912799306021518,0.5942781777056861,0.6716042340109475,0.5847638551314149,0.5786390725298795,0.5254232017253185,0.03899828740857276,0.12881460779785817,-0.4484700981925072,0.4113733542455318,0.43220197722919707,0.17737449785608686,0.09765321506299192,-0.04630692278647156,-0.14811092385504906,0.24382936288283527,0.274889575623056,0.14500942871655495,0.10078051568696275,0.01574752230625302,0.13187111067656443,0.2125753929251006,0.21932466953912855,0.18938336793599642,0.20158768228443757,0.23372175810007198,0.12457239162225205,0.11578813841978973,-0.07797683813027506,0.27241274589385156,0.2386455700713444,0.25007889062780725,0.3362370154481881,0.08971116110082594,-0.0006812551093659815,0.12286786482864505,0.0017275889621922134,-0.38876562157783595,-0.14211515790744395,0.24714633843215675,0.2696614896514277,-0.24940740996598354,-0.17694259898483247,0.13917179602256277,0.07249878953254758,0.4005079293010185,0.3298902797118504,0.11326209676874163,0.21219424878477708,0.05994642852365995,0.3674494308488227,0.175555066456518,0.20350379999551435,-0.1553575448036992,-0.15566713653559464,0.5732568057573856,0.4817006712454348
