,TL-hippocampus-R,TL-hippocampus-L,TL-amygdala-R,TL-amygdala-L,TL-anterior-temporal-lobe-medial-part-R,TL-anterior-temporal-lobe-medial-part-L,TL-anterior-temporal-lobe-lateral-part-R,TL-anterior-temporal-lobe-lateral-part-L,TL-parahippocampal-and-ambient-gyrus-R,TL-parahippocampal-and-ambient-gyrus-L,TL-superior-temporal-gyrus-middle-part-R,TL-superior-temporal-gyrus-middle-part-L,TL-middle-and-inferior-temporal-gyrus-R,TL-middle-and-inferior-temporal-gyrus-L,TL-fusiform-gyrus-R,TL-fusiform-gyrus-L,cerebellum-R,cerebellum-L,brainstem-excluding-substantia-nigra-,insula-posterior-long-gyrus-L,insula-posterior-long-gyrus-R,OL-lateral-remainder-occipital-lobe-L,OL-lateral-remainder-occipital-lobe-R,CG-anterior-cingulate-gyrus-L,CG-anterior-cingulate-gyrus-R,CG-posterior-cingulate-gyrus-L,CG-posterior-cingulate-gyrus-R,FL-middle-frontal-gyrus-L,FL-middle-frontal-gyrus-R,TL-posterior-temporal-lobe-L,TL-posterior-temporal-lobe-R,PL-angular-gyrus-L,PL-angular-gyrus-R,caudate-nucleus-L,caudate-nucleus-R,nucleus-accumbens-L,nucleus-accumbens-R,putamen-L,putamen-R,thalamus-L,thalamus-R,pallidum-L,pallidum-R,corpus-callosum-,Lateral-ventricle-excluding-temporal-horn-R,Lateral-ventricle-excluding-temporal-horn-L,Lateral-ventricle-temporal-horn-R,Lateral-ventricle-temporal-horn-L,FL-precentral-gyrus-L,FL-precentral-gyrus-R,FL-straight-gyrus-L,FL-straight-gyrus-R,FL-anterior-orbital-gyrus-L,FL-anterior-orbital-gyrus-R,FL-inferior-frontal-gyrus-L,FL-inferior-frontal-gyrus-R,FL-superior-frontal-gyrus-L,FL-superior-frontal-gyrus-R,PL-postcentral-gyrus-L,PL-postcentral-gyrus-R,PL-superior-parietal-gyrus-L,PL-superior-parietal-gyrus-R,OL-lingual-gyrus-L,OL-lingual-gyrus-R,OL-cuneus-L,OL-cuneus-R,FL-medial-orbital-gyrus-L,FL-medial-orbital-gyrus-R,FL-lateral-orbital-gyrus-L,FL-lateral-orbital-gyrus-R,FL-posterior-orbital-gyrus-L,FL-posterior-orbital-gyrus-R,FL-subgenual-frontal-cortex-L,FL-subgenual-frontal-cortex-R,FL-subcallosal-area-L,FL-subcallosal-area-R,FL-pre-subgenual-frontal-cortex-L,FL-pre-subgenual-frontal-cortex-R,TL-superior-temporal-gyrus-anterior-part-L,TL-superior-temporal-gyrus-anterior-part-R,PL-supramarginal-gyrus-L,PL-supramarginal-gyrus-R,insula-anterior-short-gyrus-L,insula-anterior-short-gyrus-R,insula-middle-short-gyrus-L,insula-middle-short-gyrus-R,insula-posterior-short-gyrus-L,insula-posterior-short-gyrus-R,insula-anterior-inferior-cortex-L,insula-anterior-inferior-cortex-R,insula-anterior-long-gyrus-L,insula-anterior-long-gyrus-R
TL-hippocampus-R,0.0,0.18911261855520245,0.14358369999035414,0.1292098422530792,0.4695141445934291,0.45769460737464385,0.2265437061387681,0.16815871978317273,0.19408620913172103,0.13539591264626083,-0.41255497644467765,-0.4068523023577628,-0.43268673690292303,-0.2757808037912134,0.014576451918799471,-0.10369458921645669,0.25440900308784176,0.17859868725870365,0.17051214015069893,0.12298637764914527,0.2072892961966311,-0.9371198849127504,-0.7820831917450082,0.3330973586075162,0.33005650762389155,-0.44000605194269043,-0.4281712481942225,-0.46882673198668073,-0.6798380726166625,-0.914182749080169,-0.6643126014935286,-0.7082428957301775,-0.5269287912590624,-0.7201787946929683,-0.8306023569711338,-0.35385909445150954,-0.40852782851909175,-0.7150575121652205,-0.7925747784898154,-0.5046329502762281,-0.41059955210305743,0.1267419988329615,-0.3169624338388061,0.5675507560545364,-0.33581193138843346,-0.24139487687561895,-0.10815003927656619,0.38036946809749306,-0.12254046504059257,-0.4157242611864445,-0.24631409967176895,-0.23216527218151128,-0.26345804277854096,-0.2877438406076601,-0.26089795514546454,-0.5033173789154296,-0.23954069363087407,-0.4138592323037069,-0.6305841694430714,-0.811669813127466,-0.610004905028007,-0.5365354425229822,-0.4573187292240444,-0.03541071179443894,-0.3925050093184153,-0.3913657435117917,-0.33304469130139724,-0.35123333044322175,-0.17925248015392686,-0.29353616875583294,-0.1762803363633278,-0.272618118810078,0.6155001979079835,0.6292168901909785,0.006485934389758169,0.047810116702319216,0.23228049993505862,0.18721193764107194,0.06364486040993728,0.12248673390582043,-1.1773819138132344,-1.1185120132745365,-0.09994320680594582,-0.2142785973147055,0.156760021019735,0.03172667401844301,-0.016131553491875658,-0.19548427477961167,0.3393862835011956,0.2875367790521048,-0.6463842678719676,-0.6295092019140293
TL-hippocampus-L,0.18911261855520267,0.0,0.17983703198947065,0.07899926559904169,0.87649807100453,0.7515389801838044,0.7044219772136194,0.4408324917545503,0.093681405266553,0.041922144935206185,-0.07502623128108199,-0.24144247652197653,-0.08458392846232832,-0.17223962036482116,0.24425255423512637,-0.0022167820494591872,0.05469417420511269,-0.0279169322341411,-0.024042982665531842,0.09451742436192073,0.2731753293541765,-0.9642528448660341,-0.8127523093397295,0.28306430458258325,0.25476129737637493,-0.5717044815294071,-0.46366976264416515,-0.5191265861413841,-0.4912100569200225,-0.9092898003296762,-0.36512152346452253,-0.6086618423404843,-0.3711164346680592,-0.7784174533110432,-0.6942163768238289,-0.2964858825606038,-0.2732458493233224,-0.8382821567572707,-0.794653146328819,-0.603892812491606,-0.5322430016539321,-0.18741547347527798,-0.6959394291335959,0.4874761710671214,0.08680009242591841,-0.07284042517290892,0.3558527305349162,0.05686650104548441,-0.22575523540038042,-0.21682379697355536,-0.17105154455035504,-0.14965944558207964,-0.15435435805891756,-0.06687823459748593,-0.24185758130567422,-0.23598672263720094,-0.2482092788321412,-0.28612008318965443,-0.539200483869545,-0.36039374697710586,-0.712578290967734,-0.34126605041889485,-0.7313206644805064,-0.417684733343327,-0.7764091107495714,-0.8393383111193193,-0.2780064228584226,-0.1588168985289343,-0.14104191330893645,0.059104933997452536,-0.047046723266841284,0.06413410509843501,0.5483616059504127,0.566620668945391,0.08023525490015235,0.3176587152448242,0.12344673296494912,0.13687636453658142,0.3539031502218226,0.6756414836981288,-0.9127450436968436,-0.5380947893200506,-0.29592602554318653,-0.1532746653813999,0.06313593575656734,-0.08724786943174151,-0.012161497783374497,0.024362999425800946,0.4094375102338483,0.3861726408018498,-0.45172356552967463,-0.2526168213455348
TL-amygdala-R,0.14358369999035403,0.17983703198947065,0.0,0.04520261508964718,0.6286111398833321,0.5343238688573352,0.3187857871568639,0.3035082539565891,0.35991722535866755,0.2510220567998425,0.006205702926564416,-0.01666673255322737,-0.11087534910370991,-0.08497516403415431,0.3765165709974598,0.1158677478758176,-0.03586036060504472,-0.07028806118496578,0.1619521759414267,0.19684936649099727,0.4086283524383211,-0.9518256061639108,-0.7543636202630084,0.45885187560803525,0.3431483533223254,-0.11472334420064761,-0.03495961660811736,-0.245212033754151,-0.41124185862405005,-0.6759439633385724,-0.2770324781836132,-0.6977126674516341,-0.4030653188660102,-0.401583112926032,-0.36044283777292185,-0.2131528796119182,-0.18023724140945238,-0.37817567636773197,-0.4131095127782539,-0.3646573209204321,-0.3267667001188602,0.059793959740874134,-0.4811900560252225,0.3577949690813991,0.09896217131854967,-0.031053832796588327,-0.041682960503530875,0.1666696524559963,0.11217038458847639,-0.13149245289151187,-0.15768225054827723,-0.09696038780097972,-0.32760505512324045,-0.14448885697964958,0.020763756889271956,-0.2123544870323204,-0.021885962110413937,-0.10667844651864111,-0.25988338233661895,-0.353863310548854,-0.5768673812076045,-0.3292635135243105,-0.4699147329901444,-0.14970996346873633,-0.543485373777808,-0.5163276262178169,-0.31370171932934793,-0.0900595997038264,-0.13014238883640547,-0.12965619684686683,0.09008749468713083,-0.02719064233162799,0.6750176201770195,0.6886857154370537,0.3255621253318708,0.3914847836346351,0.4141610715512212,0.4604094003309742,0.02705620848184903,0.17426626652932387,-0.8363669512752461,-0.6294669254466196,-0.05228931516828787,-0.09593846257069628,0.30007148386411625,0.13581283945943148,0.05095137421635218,0.010035873387422956,0.5220547008521729,0.34771401469226987,-0.25275031245699653,-0.2782521276032616
TL-amygdala-L,0.1292098422530792,0.07899926559904169,0.04520261508964729,0.0,0.7621877965253188,0.6237496265406337,0.38414706387306014,0.2987029326833892,0.07446342183430976,0.0907211690070664,0.13039165843657136,-0.06367649181862886,-0.17331839053157833,-0.15690484895874363,0.4282407258710145,0.1817794614134851,0.035106728914903185,-0.029631509673410272,0.13344476276184036,0.1186598169918977,0.2893568268372676,-0.8247600088985363,-0.6524824337195994,0.3674054646974351,0.37530714285226036,-0.4513005393645969,-0.2483084870189768,-0.48204790367392136,-0.5524556282992292,-0.7138828338518004,-0.29544911572982496,-0.610739369802091,-0.5441255725212043,-0.5207064737105915,-0.43210278831362675,-0.3171747487761622,-0.16905567029592863,-0.6066970055113814,-0.5819998502681147,-0.5216077967335905,-0.40461598204005783,-0.3713579412327357,-0.6804176295313218,0.4737246366937985,0.19534249030090356,0.20815136417042657,0.33674043387273656,0.1776769320092778,0.05650293434301315,-0.11273397995022028,-0.2350233307972707,-0.17865461789073123,-0.4071267910866803,-0.21649396410316385,-0.13729120666230465,-0.2910567956489636,-0.1625831078842408,-0.1817060356212879,-0.24363157981965464,-0.18626380233910333,-0.6758906196006289,-0.30869032455971906,-0.4981126814529562,-0.272866904690019,-0.6816357840512357,-0.5948822901616742,-0.3952162848777033,-0.21914186930596768,-0.36213047480835325,-0.16535479284039156,-0.037242258259995185,0.060508894392200474,0.6552615148659167,0.6366366239494733,0.31005546335390627,0.5393787911792475,0.4076112842001308,0.3244289071198958,0.1612907629823468,0.50473798544877,-0.7827917130214106,-0.4236331393143754,-0.28230172259687186,-0.21480281368009851,0.027859047123309028,-0.07413924362964613,0.09163022473883173,-0.0049632004280757425,0.5241858239635266,0.43750656206987176,-0.30536974576812725,-0.22039585017186475
TL-anterior-temporal-lobe-medial-part-R,0.4695141445934291,0.87649807100453,0.628611139883332,0.7621877965253187,0.0,0.12123309094208479,-0.35969022346911733,-0.14862975370535136,0.387046251676287,0.5780469099533657,-0.019911958483098763,0.007262433963281398,-0.17062550861828385,0.057229905831451044,0.1371641189264099,0.3347047621734008,0.3502741023962944,0.3263799634325306,0.629098614960194,0.2878248035426004,0.2728699356570601,-0.7194281695222358,-0.4253511564311751,0.3944162802781058,0.43160915234318475,0.015658971722680604,0.04292892497872064,-0.5966774391869525,-0.6212707571791531,-0.11608623260963426,-0.099475295969639,-0.7376800960026044,-0.37040336725848766,-0.15545102556153167,-0.3218168769666973,-0.05678344533171793,-0.45361974547587464,-0.3112336815420549,-0.2734777224211685,-0.0648343323244943,0.012276473759025769,0.5105719488792888,0.23041354220394514,0.557529644425802,-0.07807550898461663,-0.11997373026910896,0.14698055899181786,0.996455365627936,-0.15135673164306795,-0.3226773987420283,-0.22238852258174768,-0.15614832172197673,-0.7122491177867332,-0.4614452292610001,-0.32854981815597517,-0.3779325282613129,-0.4698134060882633,-0.4519106385677051,-0.1688601953322193,-0.4615914540029967,-0.5688960571099886,-0.5839166298433625,-0.054870169423555326,0.11976585968745004,-0.17551059597375185,-0.055637827251357574,-0.5176767951687098,-0.4215173836242236,-0.704924855522209,-0.7905988900035041,-0.20554490816960655,-0.5030571328477716,0.6021338514168246,0.9051228966930392,0.31607452999958136,0.013616497787951265,0.4314380075478071,0.6791149820942652,-0.27679556467017863,-0.32618147651941753,-0.5481853799984326,-0.39998817451393665,0.49181267889385394,0.16893314344153923,0.6089773890484558,0.6990060026509943,0.20046990985043367,0.4196456076672014,0.4400226607958123,0.7812932797774614,0.19580085079474724,0.20733045374354536
TL-anterior-temporal-lobe-medial-part-L,0.4576946073746438,0.7515389801838044,0.5343238688573352,0.6237496265406337,0.12123309094208468,0.0,-0.050149251859997857,-0.06617721190618508,0.291593504239155,0.4528466598539551,0.1704020712837519,0.11846557206607829,0.02031424824388539,0.048204051589458896,0.2876712464331825,0.34688994423003916,0.19699492826135373,0.16935515052881991,0.5585529650180129,0.22934905418544052,0.18685529434738316,-0.7482281158922339,-0.4862273319556727,0.3967584783168471,0.48513653630372583,-0.027212413541344377,0.14268726367200377,-0.6732464821704347,-0.5473798732507764,-0.035465361021677716,0.02887339654474319,-0.5235069519549711,-0.22438167339987325,-0.2048463630247358,-0.2489434358853435,-0.09942222931409476,-0.32823405461265226,-0.325699972045965,-0.24088242890000872,-0.08899323214942625,-0.05884587627681491,0.3263405962956509,-0.015051999036435781,0.6151605781113907,0.11335558995313125,-0.06632275092629886,0.3976710808346693,0.813432385937223,-0.0677484121611993,-0.24030246901851876,-0.4686649180294444,-0.4698618128794353,-1.1090454380044092,-0.5362927771973485,-0.40181946709969596,-0.2313019996271882,-0.43347849022881163,-0.28312202258525343,0.02669637722759366,-0.1295734197342927,-0.3524828103028703,-0.21435392810113935,-0.13457058511636136,0.015696273386020837,-0.3190458446739146,-0.15299214099765723,-0.7830073591005295,-0.5887235394767119,-1.0343303766181893,-0.7304738469004874,-0.4698817472114819,-0.4060280077552366,0.7300402317849526,0.6816813784255803,0.44834741349002694,0.2263311541007999,0.5843781256736078,0.34562323754430324,-0.3075225932126293,-0.024533458908166828,-0.33009759921887105,-0.10380375893896979,0.3012881823896686,0.09569875927990215,0.3559467575115393,0.5524302037871534,0.21057467190503565,0.28526632369978094,0.4335550545298391,0.5834302422512472,0.26383579992425815,0.17621638545045756
TL-anterior-temporal-lobe-lateral-part-R,0.2265437061387681,0.7044219772136194,0.3187857871568639,0.38414706387306014,-0.3596902234691172,-0.050149251859997745,0.0,-0.08572166006989179,0.002226330173013491,0.26813290478453417,0.26334048728068865,0.1648378276744587,0.1772361616810314,0.050912264536980834,-0.06707564658864568,0.18185187269700392,0.1886926092115517,0.19234129614429424,0.5004259722113598,0.07406364211536001,0.12918692700298917,-0.5756471330693017,-0.3862703789726334,0.4385290528064722,0.44479321511244596,-0.048557671424977925,0.13307888060973472,-0.7721584483746049,-0.5856597474069358,-0.01110520886682712,0.035620803710095184,-0.5887957314443113,-0.2635753856055643,-0.20641356592893456,-0.3344676019977855,0.1686434426192236,-0.3365089168551804,-0.18517205083808674,-0.24235560888416197,0.16818701667777736,0.16384632209455707,0.24526325567316837,0.12142463732265041,0.5511487856277102,-0.047069050354155983,-0.23103969502015506,-0.06548477363249962,0.5794397549358183,-0.3935688030294911,-0.6430401479714907,0.19339228401799538,0.20143250213829597,-0.41931919073218116,-0.07439965002507218,-0.3068767248838417,-0.014441284490593093,-0.4956521124756299,-0.3973727088069311,-0.4017135679985955,-0.47050555342532474,-0.5106728608882238,-0.5136355613933481,-0.14907430679534656,-0.13003141331988483,-0.12867218375778955,0.013353819345795714,-0.08054432519792817,-0.14212566765496787,-0.6902957464994981,-0.547541592139283,-0.036411695769505176,-0.2785829177352275,0.9045337811227351,1.0611863569465245,0.2160728755770864,-0.04334324533773848,0.8295682501061927,0.6398812897965831,-0.21962010665742637,-0.2604052575698368,-0.3293244014633839,-0.1809455093165087,0.5702379807098207,-0.033001845686557646,0.6600021970193789,0.651617816215732,-0.07550688358360816,0.021818535836236497,0.36253404068373174,0.6605459370033613,0.214217618669982,0.048587153176578315
TL-anterior-temporal-lobe-lateral-part-L,0.16815871978317276,0.4408324917545503,0.303508253956589,0.2987029326833892,-0.14862975370535136,-0.06617721190618508,-0.08572166006989179,1.1102230246251565e-16,0.07352313398485161,0.2132497880540295,0.29456644297037465,0.3057827539413616,0.19145753255711667,0.13185494797581054,0.1787725970821138,0.1836149007480422,-0.11998864638121373,-0.05703470314588431,0.4623186128199115,0.13494565067446232,0.20161022656122296,-0.4678559109432793,-0.35239764348834385,0.17523263494974242,0.2627679382273372,-0.1199467955811076,0.16004325027109695,-0.5509387792801435,-0.47228230078953803,0.127083236764586,0.08640720644825796,-0.5878535886015694,-0.422022938758883,-0.1710254617338312,-0.16593900722815857,0.06298724152141412,-0.285634220925695,-0.21098533406501457,-0.1685848321097022,-0.007497897530207243,0.011142196737622678,0.22387838089369783,-0.04454853087561894,0.4318218180113782,0.1672867847890485,-0.16152962011759303,0.09035836237329412,0.28836983121162235,-0.16952939150739985,-0.5275304024381186,0.045954510758562966,-0.013966913618523258,-0.6373619285611354,-0.10398676339274608,-0.29300843039535657,-0.1828320264185237,-0.38845947978332657,-0.20938132727894532,0.03039806269261927,-0.21592998918876627,-0.5178414277361464,-0.3991534907839386,-0.054978884828447844,-0.03773441124194046,-0.30685833792764217,-0.08332315552026343,-0.2969077758206957,-0.22335205399387495,-0.6405222129431345,-0.4344997310612574,-0.06938692660393114,-0.06632713020057951,0.6655487032880288,0.6322423338410825,0.25764498714466055,-0.07368119036060838,0.6766001176205478,0.3351136406185356,-0.1383680338718496,-0.1922660076382352,-0.1404120374002291,-0.2683157793067697,0.5132479535645043,0.0011543916584210029,0.5696624701785923,0.46590835918067885,0.05250192374983842,-0.01962159117185669,0.39691167046498,0.3152288705540318,0.3670951783091091,0.14626252376479099
TL-parahippocampal-and-ambient-gyrus-R,0.19408620913172103,0.093681405266553,0.35991722535866766,0.07446342183430982,0.38704625167628703,0.291593504239155,0.002226330173013491,0.07352313398485161,1.1102230246251565e-16,-0.07489738757896891,-0.4283383961352943,-0.30047551843816583,-0.5669832495352767,-0.21575378328482048,0.030099208643525666,-0.15415257794960435,-0.06635645162669479,-0.13205411853854743,-0.01507301423750046,0.014867182406537394,0.15047904454178584,-0.920412320949368,-0.7493323472104501,0.3088924660582034,0.1680759399143827,-0.44160377046904753,-0.42616164781790944,-0.42408488594470817,-0.4213016865350988,-0.8486933814779042,-0.5744568103360307,-0.7251451881397444,-0.5171780263048182,-0.5566458967663266,-0.6879611589157303,-0.5693387300607168,-0.7873452668570413,-0.6946134539476649,-0.6367861100089198,-0.47988980771068435,-0.4168012632415248,0.3588932576626374,0.12491326860007597,0.47073167950237493,-0.14180915854474435,-0.4354699690478254,0.10105854222870958,0.31332245095927885,-0.11800432447036893,-0.15751333007564522,-0.389249897530354,-0.40315701361521344,-0.5586768394538969,-0.38237432968476803,-0.34979035512790807,-0.42738267725459334,-0.4031159923131926,-0.5214934776249109,-0.33494087724403854,-0.5500404065587735,-0.6159250311782863,-0.5443740548136411,-0.1496276640432277,0.13975470435802764,-0.41648054195512063,-0.3159338687819546,-0.6821825993715824,-0.5932686801290243,-0.24801513721159957,-0.36088267670592744,-0.23989336931030003,-0.28374072069970163,0.6074083809052764,0.5879156930326572,-0.1450087673621191,-0.4099797205669081,0.271536991671447,0.3834768182749125,-0.129344701584125,-0.04869010149574576,-0.9429685979544375,-0.9938162944684192,0.16062447582435324,-0.031933720836156726,0.2057779141532935,-0.062011386193611934,0.10980398863443337,0.183625965169177,0.2733810237672629,0.3588651896637585,-0.3923309671663419,-0.3188895137574902
TL-parahippocampal-and-ambient-gyrus-L,0.13539591264626094,0.041922144935206185,0.2510220567998425,0.0907211690070665,0.5780469099533657,0.4528466598539551,0.26813290478453417,0.2132497880540295,-0.07489738757896891,0.0,-0.18166231743603095,-0.31594499096932305,-0.3870482244932901,-0.2466549799046976,0.20024219882313532,-0.106076957310058,-0.013405051878208452,-0.08383793219738489,-0.06305235264743292,0.00668471044613933,0.18270982760441568,-0.8648896125088728,-0.680171412166287,0.3180189063721218,0.28002665650869313,-0.633743559210271,-0.6162886246756555,-0.6947096987681896,-0.43613801987550316,-0.9023362474182335,-0.5103581779781704,-0.6758289133491878,-0.36349311969619064,-0.6913218027335678,-0.7036381743908171,-0.5367983283791067,-0.7269149834820896,-1.008075642951581,-0.9083086849780102,-0.5656023039676079,-0.4716403392380572,0.0850760402913042,-0.2887944218288999,0.640768937979305,0.1376956390486337,-0.12036717267897667,0.3790506299657215,0.4246318671711638,-0.30999755389706984,-0.13840935607626806,-0.3485079794513394,-0.4228205022518856,-0.4776488006364852,-0.32849570442040266,-0.3810199678808482,-0.3470397223851141,-0.6340595442139172,-0.5815684869386488,-0.483404940679716,-0.35144188859597353,-0.7817146998257232,-0.6065366806390736,-0.23417858824126594,0.08451501090978829,-0.5381029238209396,-0.4645660938867917,-0.6554175967988706,-0.5798841617459017,-0.4043813667007332,-0.3582504270804575,-0.328791449161836,-0.353932400140165,0.7257855131118784,0.6240928697583268,-0.06523659641509943,-0.06479188230239102,0.2712116540109992,0.26269342461483414,0.020818117495072674,0.18431495555489574,-0.8995136331333604,-0.6941428544688045,-0.06929021499668261,-0.012898683571916925,-0.07729451619476721,-0.11326773672756074,-0.02678059583400008,0.1315790517387839,0.36872145722313243,0.6653991042310697,-0.4851526541872135,-0.2676966624214583
