,TL-hippocampus-R,TL-hippocampus-L,TL-amygdala-R,TL-amygdala-L,TL-anterior-temporal-lobe-medial-part-R,TL-anterior-temporal-lobe-medial-part-L,TL-anterior-temporal-lobe-lateral-part-R,TL-anterior-temporal-lobe-lateral-part-L,TL-parahippocampal-and-ambient-gyrus-R,TL-parahippocampal-and-ambient-gyrus-L,TL-superior-temporal-gyrus-middle-part-R,TL-superior-temporal-gyrus-middle-part-L,TL-middle-and-inferior-temporal-gyrus-R,TL-middle-and-inferior-temporal-gyrus-L,TL-fusiform-gyrus-R,TL-fusiform-gyrus-L,cerebellum-R,cerebellum-L,brainstem-excluding-substantia-nigra-,insula-posterior-long-gyrus-L,insula-posterior-long-gyrus-R,OL-lateral-remainder-occipital-lobe-L,OL-lateral-remainder-occipital-lobe-R,CG-anterior-cingulate-gyrus-L,CG-anterior-cingulate-gyrus-R,CG-posterior-cingulate-gyrus-L,CG-posterior-cingulate-gyrus-R,FL-middle-frontal-gyrus-L,FL-middle-frontal-gyrus-R,TL-posterior-temporal-lobe-L,TL-posterior-temporal-lobe-R,PL-angular-gyrus-L,PL-angular-gyrus-R,caudate-nucleus-L,caudate-nucleus-R,nucleus-accumbens-L,nucleus-accumbens-R,putamen-L,putamen-R,thalamus-L,thalamus-R,pallidum-L,pallidum-R,corpus-callosum-,Lateral-ventricle-excluding-temporal-horn-R,Lateral-ventricle-excluding-temporal-horn-L,Lateral-ventricle-temporal-horn-R,Lateral-ventricle-temporal-horn-L,FL-precentral-gyrus-L,FL-precentral-gyrus-R,FL-straight-gyrus-L,FL-straight-gyrus-R,FL-anterior-orbital-gyrus-L,FL-anterior-orbital-gyrus-R,FL-inferior-frontal-gyrus-L,FL-inferior-frontal-gyrus-R,FL-superior-frontal-gyrus-L,FL-superior-frontal-gyrus-R,PL-postcentral-gyrus-L,PL-postcentral-gyrus-R,PL-superior-parietal-gyrus-L,PL-superior-parietal-gyrus-R,OL-lingual-gyrus-L,OL-lingual-gyrus-R,OL-cuneus-L,OL-cuneus-R,FL-medial-orbital-gyrus-L,FL-medial-orbital-gyrus-R,FL-lateral-orbital-gyrus-L,FL-lateral-orbital-gyrus-R,FL-posterior-orbital-gyrus-L,FL-posterior-orbital-gyrus-R,FL-subgenual-frontal-cortex-L,FL-subgenual-frontal-cortex-R,FL-subcallosal-area-L,FL-subcallosal-area-R,FL-pre-subgenual-frontal-cortex-L,FL-pre-subgenual-frontal-cortex-R,TL-superior-temporal-gyrus-anterior-part-L,TL-superior-temporal-gyrus-anterior-part-R,PL-supramarginal-gyrus-L,PL-supramarginal-gyrus-R,insula-anterior-short-gyrus-L,insula-anterior-short-gyrus-R,insula-middle-short-gyrus-L,insula-middle-short-gyrus-R,insula-posterior-short-gyrus-L,insula-posterior-short-gyrus-R,insula-anterior-inferior-cortex-L,insula-anterior-inferior-cortex-R,insula-anterior-long-gyrus-L,insula-anterior-long-gyrus-R
TL-hippocampus-R,1.0,0.8846265719384566,0.841557839015103,0.7526182385023005,0.6179729674093902,0.49800557348747976,0.25730012105249456,0.16860515824716887,0.769793491604901,0.6806229618211459,0.2984170770718748,0.12549755296166268,0.06057481108765495,0.048544289632258625,0.4388880551692002,0.4249522295528583,0.4298272203047905,0.37033554772783694,0.4701599865424904,0.29899240166574054,0.3026414440752053,-0.5388772686914124,-0.3669548322220188,-0.1307514459955915,-0.10597151676751305,-0.3441133897288418,-0.2285722317708194,-0.4661119526674762,-0.6505224084540187,-0.22740175041075267,0.013729630239441102,-0.6061694851632877,-0.49042015476398476,-0.22614618127229147,-0.24972725723114053,0.06970541906099481,-0.006232495656918102,-0.1972335877641349,-0.2001939103395149,-0.14472693549682117,-0.07888282404042819,0.17227370900095781,-0.039179627024892485,0.15378438842356243,0.22602031736211747,0.07627642562560262,0.6339874070847993,0.5160535183139291,-0.2070167206072684,-0.42916142813236985,-0.14180545667087005,-0.08401713902752005,-0.34266993270222507,-0.30110812589480634,-0.32066870690029403,-0.3990607641845288,-0.25631934958443836,-0.39460488908986385,-0.18228890888114008,-0.30827417925720907,-0.5741249802014582,-0.42097545252390056,-0.20178598673920903,-0.054039577904461344,-0.310728889429373,-0.32477493665044815,-0.30702825800696776,-0.22403831429572219,-0.2324271166048874,-0.37142445012280173,-0.18102460992480196,-0.22899457948187096,0.21954259665794054,0.40937540474610656,0.07547262096896072,0.12363213687656167,-0.07421169245341398,-0.011513469752865468,0.27341150470322206,0.3755874171760975,-0.6012197528305678,-0.5358935791023641,0.006143435113377633,0.006009650180950801,0.16873389372564268,0.16782865950417186,0.11298215011319619,0.2777872729472268,0.2569765394046535,0.24874903752443786,0.11602807977387378,0.1828036416406542
TL-hippocampus-L,0.8846265719384567,0.9999999999999999,0.7839338454866078,0.8466914567442764,0.6025063582656134,0.5676741228175657,0.43337843098581236,0.24310673239856828,0.6074827492789748,0.7536292654152581,0.4516229557735585,0.20655219048375784,0.15629065761947472,0.020171533642392117,0.3879390569668157,0.469834537165682,0.4514483993923808,0.4097906143602192,0.5408217939040537,0.36468863701338483,0.4036481080005465,-0.5386119682865286,-0.34942275368019604,-0.12259789017077799,-0.0704642244751771,-0.3929054204424435,-0.24445842738928833,-0.6776777088940866,-0.6918740212454039,-0.22592621605505658,0.04380769682318971,-0.5056747813673074,-0.34568659946051217,-0.2111174408585038,-0.24755296751368958,0.2042881093850941,0.09895182793534064,-0.21818881745109903,-0.23791313021458438,-0.08587110654044713,-0.01980768209753573,0.06799423711576129,-0.19727995109887353,0.1675988980891845,0.3828446574407861,0.24878673515770386,0.6664160865196884,0.6473052029913093,-0.35473626133908975,-0.433616046536695,-0.06291199854225211,0.007446046915290007,-0.32125155707686615,-0.2516062691438743,-0.3703621251248833,-0.33408872271648576,-0.4131312182390055,-0.46067513188655435,-0.2082907119588473,-0.14137603736582735,-0.5777953044688319,-0.40745828742510903,-0.3044608237291301,-0.21879811155529522,-0.3521334322204437,-0.4514315481001285,-0.264537587792114,-0.14261493181885893,-0.3735821778588825,-0.349871886440361,-0.17691436194530194,-0.22778744653043323,0.3176997863396834,0.5621146727224225,0.2292089769375552,0.35391078923379293,0.0040139954829594635,0.04157757143656571,0.28361586895432533,0.49727744546739955,-0.5392584832028353,-0.26010544223802956,0.0029066424894558397,0.08539546421768943,0.21544590242768993,0.29754281451852516,0.18278395875378756,0.3451158879690169,0.332365627494599,0.47508789178561495,0.20048508944253476,0.3389884822020413
TL-amygdala-R,0.841557839015103,0.7839338454866078,1.0,0.8348713803735861,0.7763873483602884,0.6902253292258668,0.36293874087842704,0.42432947768659185,0.7952475052847167,0.6783013542767942,0.3884240213007055,0.28705742600558526,0.17962105595476693,0.24959510072344163,0.6615853518215709,0.5756613902239877,0.2950059737181776,0.24378968974556953,0.5123565524131463,0.35736192524000443,0.3720447055739879,-0.5957831351662701,-0.39115295034242586,0.03686907532019603,-0.06296411770822133,-0.28775633237936243,-0.1793860336827747,-0.4649205834569678,-0.6011447043371412,-0.16277901415882942,0.037836472394748216,-0.5718407007029895,-0.3891811614130532,-0.09547966653261244,-0.11771875737328259,0.04257983710835329,0.01616688042541481,-0.15618564216279957,-0.14093182472498184,-0.189427160957019,-0.15011178860225918,0.16338454779296172,-0.10480116782438458,0.1594468285815659,0.39925565546870495,0.15422927843236908,0.4959278837633018,0.4944682627683942,-0.12629716931313295,-0.32682813999944343,-0.007888325547638245,0.05673719554261282,-0.23264932702954466,-0.1527824150380607,-0.2673814979131305,-0.3540042519752018,-0.21883061068450893,-0.310084209125064,-0.061724605400695465,-0.14623939650682938,-0.5697128254166801,-0.39728168083490056,-0.29736317471205836,-0.23306903514575972,-0.41109863168642363,-0.4190666173747053,-0.17826095783125465,-0.09072854922033531,-0.15914765698797792,-0.2134258813054628,0.07791319592634173,-0.11471777041766726,0.40498679583800673,0.6009203056329012,0.2978660173721732,0.2877942456397069,0.12454110333134936,0.2713271146782176,0.35557699505357937,0.44071264041758557,-0.5113405103278206,-0.33807185534015155,0.10162685890995253,0.08827852510297325,0.2716031606038017,0.264878135376172,0.22854827081098023,0.3497588187958595,0.381218096315327,0.3183927243659053,0.2414100733614821,0.2717318333495125
TL-amygdala-L,0.7526182385023005,0.8466914567442764,0.8348713803735861,1.0,0.6823361863330719,0.6763567140146638,0.3363423134680719,0.33524393232158456,0.49387819446227726,0.6344725013799583,0.48989352295760996,0.23576438470878489,0.017569295904561993,0.0337974537378221,0.5039863962202759,0.5514578921379276,0.3518887388992219,0.3035147076581854,0.58783514182822,0.3836726621446007,0.4194484216265057,-0.4802776941143356,-0.27139170652765376,-0.00828221715248012,0.035427897657873755,-0.4612928105267826,-0.2869462137846444,-0.7174468609682393,-0.7817669293133043,-0.200122178141198,0.05711183466787736,-0.5638301217406585,-0.4635475749083419,-0.15168358765183176,-0.18191714660017472,0.11674456625836432,0.12746413496111533,-0.27736308357246253,-0.285916438873516,-0.1696210716509229,-0.11957431015072749,0.0017101160645549903,-0.22197696464875297,0.29765380281385306,0.4746912848187243,0.4149205461319204,0.6639853842146916,0.7119248008302546,-0.21327697827025918,-0.33764184224833815,-0.056770103014082814,-0.0016343930212064216,-0.39642783611769195,-0.31151254708847304,-0.4451739075445672,-0.5232570145119078,-0.4451354913767591,-0.4654503130010764,-0.0719719773925126,-0.02274212963905738,-0.603368828561781,-0.41094736313089797,-0.26263764100671855,-0.2077825090813979,-0.37443215038341665,-0.4230174409226613,-0.29296622723727667,-0.22312757248268456,-0.41752189460480316,-0.4179491264080361,-0.09955607858068201,-0.20605598831134592,0.3373274126068517,0.5850195165022254,0.36244551812664294,0.4515782744402337,0.07241203947416569,0.16893755991275908,0.3333644630739201,0.5463400622877163,-0.48302412198904676,-0.18247792661798357,-0.020738869033440906,-0.07854665331460767,0.1084960813475884,0.1811040949144288,0.2523801464209574,0.29307182824285566,0.356246037760534,0.4078247190678277,0.25409854812302346,0.3175249337860128
TL-anterior-temporal-lobe-medial-part-R,0.6179729674093902,0.6025063582656134,0.7763873483602883,0.6823361863330718,1.0,0.8783740179409872,0.4676345521385979,0.5282010029572791,0.7339130997997441,0.6835358529114539,0.15891270058538118,0.1160971797423104,0.30867755438752026,0.3566637272024686,0.6851468185032041,0.6559893819909242,0.15785817247405504,0.10529925289230033,0.4780729514434779,0.32905737508656224,0.40867153340144297,-0.548956311628504,-0.3382268755386642,0.16678967783507978,0.18813786741876687,-0.26026592498664675,-0.10759035471857606,-0.2730700985969777,-0.2801569630434868,-0.09875548125889246,0.11756288533989406,-0.3868257872770059,-0.2769244797695641,0.038851719001179945,0.01698805146140488,0.09191557793524972,-0.013753393923324772,-0.10914949275627109,-0.054926040920341486,-0.16648394953914822,-0.14603223357522194,0.12776736878620037,-0.15770718545913717,0.14226519109867175,0.29282251548438853,0.21083614464689993,0.3615833951949868,0.39223938178556067,0.04324388338327372,-0.029436616542797684,0.07008315185316592,0.11610947974667206,-0.2850972460915667,-0.0708905399533238,-0.18072954825400184,-0.176925185641824,-0.03841614148500008,-0.015381858209031003,-0.07327006214014375,-0.16796896762303784,-0.4657724021971364,-0.315271233801515,-0.33204467646051633,-0.1756415189221777,-0.36395167634049247,-0.33168468663101736,-0.16926906949082904,-0.013765926711323285,-0.12473582147289092,-0.17839051124000033,0.22654802344349315,0.06161522335793338,0.2965692163873974,0.47096966523289924,0.3907999855319426,0.32781097656862257,0.1356044347751495,0.3214626906792378,0.4560815118042414,0.5123773238202388,-0.2636333106466416,-0.18591379528712487,0.20551992419838153,0.29939784710219897,0.2895407734548009,0.41608157802515305,0.2702005844419952,0.5839274023580128,0.2471183418661874,0.3941304118783837,0.2715930551941149,0.3355511693944518
TL-anterior-temporal-lobe-medial-part-L,0.4980055734874797,0.5676741228175657,0.6902253292258668,0.6763567140146638,0.8783740179409871,1.0,0.6498812031366655,0.7208927668958606,0.5792194483809845,0.596321788009658,0.23365237277741718,0.19648408133539533,0.35945439308502897,0.37020893495171,0.6379411124978845,0.6891374002406726,0.1712197099499702,0.11901829270668131,0.5192469142368004,0.38403412020743755,0.40708429228164805,-0.6112643399398755,-0.415852810044132,0.25739644382308025,0.36686100062768,-0.2547915159974622,-0.04191747318475747,-0.3913709268202627,-0.29534994360130196,-0.11082041818948961,0.06318979018901681,-0.2517869069433473,-0.22091340181695565,-0.040168451170986615,-0.06602798547668019,0.0668820205811493,0.009894427152554479,-0.19308534977451836,-0.1583622199985255,-0.10426504644370137,-0.1268339041755398,-0.035570932930097054,-0.31501127542362334,0.27967786953917523,0.3142105484951522,0.25360311986803946,0.3663710063624144,0.41388210372262624,0.05357780717304432,-0.038317308189157684,0.013178857050232879,0.03192562314109747,-0.4759236610679981,-0.23477904504516248,-0.29075627528048464,-0.23338101476270706,-0.06387885247372244,0.06557256309203748,-0.020821309028030352,-0.02025283506108348,-0.3386409856460889,-0.19665674471246708,-0.3624534237350947,-0.1940444834017988,-0.37609891998031086,-0.4009937823932197,-0.23841254122152525,-0.12357715032330543,-0.31521603253522273,-0.3254105408857382,0.11589314644346185,-0.0880922644649753,0.3695548440540495,0.4645030036166587,0.4300302612988976,0.44848312226788783,0.2239216245701386,0.18015593662561502,0.5609269933932983,0.6651911153968109,-0.15567749458247568,-0.07058155969536489,0.16331758416695893,0.12679919063942702,0.1996774858733952,0.3322683937626024,0.29456431310084336,0.4164446946505693,0.26259608784474847,0.4097274999681925,0.33406439485680484,0.2596960802029234
TL-anterior-temporal-lobe-lateral-part-R,0.25730012105249456,0.43337843098581236,0.36293874087842704,0.3363423134680719,0.4676345521385979,0.6498812031366656,1.0,0.771822948725315,0.29838310798347045,0.36885979240883743,0.3308792907040465,0.2821047347626726,0.670184464316622,0.445199245548678,0.42142691410766475,0.5665547807596034,0.10642702321247759,0.061147690737682475,0.20766086525894947,0.24216995648096837,0.2153737882937713,-0.44597138678763876,-0.35377602053644,0.3296238934308746,0.35421886784197043,-0.13964668592518814,-0.0032063457932122847,-0.2779255395372641,-0.11208130915875625,-0.004833617817693189,0.19460541459873884,-0.07128435423813702,0.10636658832060686,-0.016782734032352885,-0.03733565159196122,0.22329036199468819,0.0906333706420399,0.01765389563033993,-0.024403243196361803,-0.07260681737547352,-0.13996172980447436,-0.09004489159111319,-0.4194669276393974,0.14213087882993464,0.1825665075861677,0.15136075627543508,0.008782997018088799,0.15037032270331482,-0.051460719043864414,-0.1757052842980775,0.3242148059860871,0.3418384479688159,-0.17890235209225325,0.08692368050947585,-0.011353487162448562,0.21059075585173556,-0.0018017604659304935,0.10757494531095314,-0.1885903415822965,-0.05923324147361841,-0.24484908087494944,-0.2339075215389229,-0.4627939770790671,-0.4127238264423945,-0.3273117722141758,-0.4106097037631908,0.15977038688876768,0.17517082940919304,-0.2203400419378961,-0.06989414391770125,0.21075866040786786,0.02095935955141838,0.6552935541701292,0.674174334834391,0.4392055930812504,0.40856907647305635,0.4589456007322574,0.25120713729152927,0.4714817725810849,0.5201272087300766,0.026855429534223325,0.1264968549655474,0.23382385369396502,0.13673233576752275,0.33326572515359365,0.3203630139110048,0.15269469650201978,0.301421125485242,0.28382351318355636,0.3956831357608729,0.3023358762613553,0.16214888816171952
TL-anterior-temporal-lobe-lateral-part-L,0.1686051582471689,0.24310673239856825,0.4243294776865918,0.33524393232158456,0.5282010029572791,0.7208927668958606,0.7718229487253149,0.9999999999999999,0.3348971437262639,0.26557100413154866,0.3166704779434534,0.4673122505283765,0.6222058988288475,0.7048042567529286,0.5462596413618904,0.6057877402845387,-0.11607045577327504,-0.12023321294944897,0.1395167191375559,0.36601742268988396,0.30703368558577865,-0.3470310470301503,-0.3465109101813328,0.28350038636961855,0.3164158892702474,-0.15060764994035758,0.0169003190632394,-0.10155611142610359,-0.06713689248435638,0.1667668341526519,0.13454894652004756,-0.06783466351856748,-0.040790315827480064,-0.005938293494323026,-0.005907917644433583,0.06917886593243654,0.041028208210641307,-0.039936145151682936,-0.060291331087844104,-0.2924982044767947,-0.3223754439535982,-0.09902689245836001,-0.4644124759483018,0.10733640331173325,0.1776694284916547,0.145806834843635,-0.022166313575144432,0.05320822575243929,0.1680373291141389,-0.0670933149690134,0.28933298314504485,0.2792968946169879,-0.2720368618489172,-0.0016613312548829733,0.05934616137336229,-0.007353092718922677,0.08122081544306124,0.23746781090226166,0.16518047139057915,0.057101139489297195,-0.20987116778792805,-0.19501614555915,-0.2750698359675172,-0.27126671554585735,-0.3968156979704394,-0.4390617058919633,0.06221514700576123,0.07332072422757571,-0.08967746328253616,-0.11173792055116775,0.2603225368234293,0.05122902793966395,0.45782444123426874,0.5286200151174348,0.4012599474351306,0.34705679111718896,0.37067615505920826,0.19897555601939768,0.6234539655490832,0.47947720276901595,0.14905873408699186,-0.025745863859542157,0.36582898712875983,0.1255365494185054,0.36396045384034265,0.21943842561966703,0.3019357646619621,0.2670557246332053,0.35638965753623086,0.250175122435861,0.38487146489850926,0.23315590837568864
TL-parahippocampal-and-ambient-gyrus-R,0.769793491604901,0.6074827492789748,0.7952475052847168,0.49387819446227726,0.7339130997997441,0.5792194483809845,0.29838310798347045,0.3348971437262639,1.0,0.7592962460594025,-0.005743963617100349,-0.00374303396897888,0.21536257346708604,0.27742974860251846,0.6833891279219166,0.44051674038699273,0.2976327518745762,0.25370665269767045,0.4026695283704057,0.250926300472733,0.2794292326312275,-0.5253839253424735,-0.39861814726696176,-0.049589467773069475,-0.035646417086435636,-0.2115446664948212,-0.10160553771001248,-0.21131878678935362,-0.28165606507498164,-0.2219031145244654,-0.05279747377090304,-0.47020905621485043,-0.3401020779474373,-0.12518821458037352,-0.10023141153965233,-0.03683384909767874,-0.13060363789533996,-0.0918866784003393,-0.05883639326453693,-0.026213797101456274,-0.010594408170974482,0.29588180531089747,0.030500720600586038,0.014410337998166912,0.2964787053128348,-0.06957776627728483,0.426276425000474,0.2830396839220961,-0.12619988345954758,-0.23367092001748904,-0.09125689385533368,-0.09743142618612005,-0.3119037653491969,-0.19661075784337315,-0.2583281307328384,-0.2613882728534857,-0.03535916072038874,-0.12663098029478864,-0.16926705500184147,-0.3005983718079519,-0.4096392444112462,-0.3257573507925945,-0.08638539659675246,0.025607248442030873,-0.2510439465276534,-0.20496013402897395,-0.29769651918946377,-0.1691371697832703,-0.030858923520279274,-0.2404982755972006,-0.025578466148560144,-0.17044495721978908,0.25323851423513183,0.3815756068095532,0.06290184444765558,-0.05306448808143962,-0.03466859340062945,0.141264475128995,0.17636553605352964,0.23159541745164575,-0.4501202696825419,-0.5342155225575472,0.1002007203650041,0.14187173595092709,0.15779305689216333,0.15522770688104368,0.19224831144573837,0.36569290419489237,0.21014118769433496,0.28478659236296516,0.0717596544053734,0.11531836707562057
TL-parahippocampal-and-ambient-gyrus-L,0.6806229618211459,0.7536292654152581,0.6783013542767942,0.6344725013799583,0.6835358529114539,0.596321788009658,0.36885979240883743,0.26557100413154866,0.7592962460594025,1.0,0.21424037173760468,0.00913947447992298,0.18486497915821967,0.09117843634967353,0.5892308809873433,0.4829052633197734,0.40254080549545,0.3813269252362228,0.5615494875036823,0.2849519626482263,0.3530226539159936,-0.5014435540553734,-0.3189144988538943,-0.11534234355913503,0.04676512866099005,-0.3888099108341074,-0.24876936904823901,-0.5482471112622814,-0.3626906126927737,-0.26784116228529514,-0.0620646130543044,-0.44862661884747834,-0.316991342114213,-0.11214607550641967,-0.10494519127049276,0.054481602223045066,-0.13263680577640352,-0.33647140894063343,-0.32354482984659527,0.013036768562271527,0.05378286248726131,0.12407432769987696,-0.15997981403104175,0.1922988397867978,0.5490689932941655,0.3118348045502204,0.5564251278218083,0.5222850822341557,-0.3563044766835414,-0.2865202799313171,-0.10467861656850408,-0.1479309266288296,-0.3326393719199302,-0.22771518873343993,-0.36527244557459515,-0.21516861170854967,-0.4214841512888166,-0.3622438173995203,-0.2940215727437196,-0.14985420631153595,-0.5479929417256512,-0.48196428901682153,-0.11839044982147622,0.006538172779513233,-0.26569017792708804,-0.2259205238154473,-0.4053387061710633,-0.2436471462977136,-0.31467020559990727,-0.3589316821898235,-0.20592358433319094,-0.3522048111779728,0.3370198915340425,0.4819777118508829,0.1819097420170573,0.2048696073490367,0.021804244045015676,0.08575082563000166,0.15998991351763545,0.2568137450874433,-0.4990057038323419,-0.3642525747569541,0.04397188177205902,0.19929556521286015,-0.01734808767110725,0.25418169412126196,0.14877447062251792,0.33508285173429825,0.21336391241943323,0.5097319676954751,0.0881041515701721,0.2140040088239765
