roi_i,roi_j,diff_corr_lc_minus_control,p_perm,q_fdr
TL-anterior-temporal-lobe-lateral-part-R,FL-subgenual-frontal-cortex-R,1.0611863569465245,0.001996007984031936,0.11140385894876911
FL-middle-frontal-gyrus-L,Lateral-ventricle-excluding-temporal-horn-L,-0.9971307092076218,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-L,FL-medial-orbital-gyrus-L,-0.6554175967988706,0.001996007984031936,0.11140385894876911
FL-superior-frontal-gyrus-L,FL-subcallosal-area-R,-0.9412677636743338,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-L,FL-middle-frontal-gyrus-L,-0.6947096987681896,0.001996007984031936,0.11140385894876911
FL-posterior-orbital-gyrus-R,FL-pre-subgenual-frontal-cortex-R,0.815572487781702,0.001996007984031936,0.11140385894876911
Lateral-ventricle-excluding-temporal-horn-R,FL-subgenual-frontal-cortex-R,0.9891240591954513,0.001996007984031936,0.11140385894876911
TL-fusiform-gyrus-R,FL-subgenual-frontal-cortex-R,0.879316582456718,0.001996007984031936,0.11140385894876911
CG-anterior-cingulate-gyrus-L,FL-posterior-orbital-gyrus-R,0.8039996828991092,0.001996007984031936,0.11140385894876911
Lateral-ventricle-excluding-temporal-horn-L,FL-subgenual-frontal-cortex-R,0.7083515830733618,0.001996007984031936,0.11140385894876911
FL-anterior-orbital-gyrus-R,FL-inferior-frontal-gyrus-L,0.8258679804483727,0.001996007984031936,0.11140385894876911
brainstem-excluding-substantia-nigra-,FL-anterior-orbital-gyrus-L,-0.6498724059195506,0.001996007984031936,0.11140385894876911
brainstem-excluding-substantia-nigra-,FL-anterior-orbital-gyrus-R,-0.7211453741535242,0.001996007984031936,0.11140385894876911
TL-anterior-temporal-lobe-medial-part-L,FL-anterior-orbital-gyrus-L,-1.1090454380044092,0.001996007984031936,0.11140385894876911
TL-anterior-temporal-lobe-medial-part-L,FL-medial-orbital-gyrus-L,-0.7830073591005295,0.001996007984031936,0.11140385894876911
TL-anterior-temporal-lobe-medial-part-L,FL-lateral-orbital-gyrus-L,-1.0343303766181893,0.001996007984031936,0.11140385894876911
FL-middle-frontal-gyrus-R,OL-cuneus-R,1.0071318242835727,0.001996007984031936,0.11140385894876911
CG-posterior-cingulate-gyrus-L,FL-posterior-orbital-gyrus-R,1.0211666774774157,0.001996007984031936,0.11140385894876911
FL-middle-frontal-gyrus-L,PL-postcentral-gyrus-R,-0.5403919087552819,0.001996007984031936,0.11140385894876911
CG-posterior-cingulate-gyrus-R,FL-lateral-orbital-gyrus-L,0.673287732085726,0.001996007984031936,0.11140385894876911
FL-posterior-orbital-gyrus-R,insula-anterior-short-gyrus-R,0.7749449953791193,0.001996007984031936,0.11140385894876911
FL-posterior-orbital-gyrus-R,insula-middle-short-gyrus-L,0.9871921402694841,0.001996007984031936,0.11140385894876911
CG-posterior-cingulate-gyrus-L,FL-lateral-orbital-gyrus-R,1.029954797318633,0.001996007984031936,0.11140385894876911
FL-lateral-orbital-gyrus-L,FL-posterior-orbital-gyrus-L,-0.2957960546203334,0.001996007984031936,0.11140385894876911
TL-anterior-temporal-lobe-medial-part-R,FL-medial-orbital-gyrus-L,-0.5176767951687098,0.001996007984031936,0.11140385894876911
Lateral-ventricle-temporal-horn-R,FL-medial-orbital-gyrus-L,-0.5954646430478321,0.001996007984031936,0.11140385894876911
TL-fusiform-gyrus-R,FL-middle-frontal-gyrus-R,-0.5653619508700541,0.003992015968063872,0.12021999167133358
TL-anterior-temporal-lobe-medial-part-R,FL-anterior-orbital-gyrus-L,-0.7122491177867332,0.003992015968063872,0.12021999167133358
TL-parahippocampal-and-ambient-gyrus-R,FL-medial-orbital-gyrus-L,-0.6821825993715824,0.003992015968063872,0.12021999167133358
FL-superior-frontal-gyrus-R,FL-subcallosal-area-R,-0.6452649675324489,0.003992015968063872,0.12021999167133358
PL-angular-gyrus-R,FL-lateral-orbital-gyrus-R,0.7701226066940666,0.003992015968063872,0.12021999167133358
TL-anterior-temporal-lobe-medial-part-R,FL-lateral-orbital-gyrus-R,-0.7905988900035041,0.003992015968063872,0.12021999167133358
TL-anterior-temporal-lobe-medial-part-R,FL-subgenual-frontal-cortex-R,0.9051228966930392,0.003992015968063872,0.12021999167133358
OL-lateral-remainder-occipital-lobe-L,FL-middle-frontal-gyrus-L,0.7290063375433455,0.003992015968063872,0.12021999167133358
Lateral-ventricle-temporal-horn-R,FL-anterior-orbital-gyrus-R,-0.62627429364242,0.003992015968063872,0.12021999167133358
TL-fusiform-gyrus-R,FL-superior-frontal-gyrus-L,-0.5990606022715351,0.003992015968063872,0.12021999167133358
TL-fusiform-gyrus-R,FL-superior-frontal-gyrus-R,-0.68782993907683,0.003992015968063872,0.12021999167133358
FL-inferior-frontal-gyrus-L,FL-lateral-orbital-gyrus-R,0.6572117260107031,0.003992015968063872,0.12021999167133358
FL-inferior-frontal-gyrus-L,FL-posterior-orbital-gyrus-R,0.7058277128913311,0.003992015968063872,0.12021999167133358
FL-medial-orbital-gyrus-R,insula-anterior-short-gyrus-L,0.671795386971079,0.003992015968063872,0.12021999167133358
FL-medial-orbital-gyrus-R,insula-middle-short-gyrus-L,0.8018024882236368,0.003992015968063872,0.12021999167133358
FL-posterior-orbital-gyrus-R,insula-anterior-short-gyrus-L,0.7457381174054665,0.003992015968063872,0.12021999167133358
CG-posterior-cingulate-gyrus-L,FL-lateral-orbital-gyrus-L,0.7985697806473709,0.003992015968063872,0.12021999167133358
FL-anterior-orbital-gyrus-L,FL-inferior-frontal-gyrus-R,0.6630703969980314,0.003992015968063872,0.12021999167133358
FL-medial-orbital-gyrus-L,insula-anterior-short-gyrus-L,0.6457795159948462,0.003992015968063872,0.12021999167133358
OL-lateral-remainder-occipital-lobe-R,FL-middle-frontal-gyrus-R,0.6971964047170265,0.003992015968063872,0.12021999167133358
OL-lateral-remainder-occipital-lobe-R,FL-inferior-frontal-gyrus-L,0.647108515468732,0.003992015968063872,0.12021999167133358
FL-straight-gyrus-R,FL-lateral-orbital-gyrus-R,0.6025961949707396,0.003992015968063872,0.12021999167133358
thalamus-R,FL-straight-gyrus-R,-0.49022613765340584,0.003992015968063872,0.12021999167133358
OL-lateral-remainder-occipital-lobe-L,FL-inferior-frontal-gyrus-L,0.6546538728706754,0.003992015968063872,0.12021999167133358
FL-middle-frontal-gyrus-L,FL-subcallosal-area-R,-1.0254085694379647,0.003992015968063872,0.12021999167133358
FL-subgenual-frontal-cortex-R,TL-superior-temporal-gyrus-anterior-part-R,0.9154817459912926,0.003992015968063872,0.12021999167133358
FL-anterior-orbital-gyrus-R,FL-inferior-frontal-gyrus-R,0.7286264108354814,0.003992015968063872,0.12021999167133358
PL-angular-gyrus-R,FL-posterior-orbital-gyrus-L,0.7644712700301967,0.003992015968063872,0.12021999167133358
